Index,Store Code,Store Name,Province EN,Province KH,District EN,District KH,Latitude,Longitude
1,"BANA001","Chamnaom","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","13.437565","102.934632"
2,"BANA002","Paoy Paet","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","13.682498","102.564968"
3,"BANA003","Preah Punlea","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.59106","102.973797"
4,"BANA004","Phsar Kandal","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","13.646559","102.590885"
5,"BANA005","Ou Ruessei","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.69538","102.651888"
6,"BANA006","Roluos","Banteay Meanchey","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","13.80385","102.96445"
7,"BANA007","Phnum Touch","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","13.410764","103.017448"
8,"BANA008","Paoy Char","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.774137","103.313281"
9,"BANA009","Chub Vari","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.623668","103.182027"
10,"BANA010","Banteay Chhmar","Banteay Meanchey","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","12.252597","105.977067"
11,"BANA011","Kampong Svay","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.600802","102.967587"
12,"BANA012","Malai","Banteay Meanchey","បន្ទាយមានជ័យ","Malai","ម៉ាឡៃ","13.566301","102.364078"
13,"BANA013","Thma Puok","Banteay Meanchey","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","13.941231","103.049339"
14,"BANA014","Koub","Banteay Meanchey","បន្ទាយមានជ័យ","Ou Chrov","អូរជ្រៅ","13.608353","102.764872"
15,"BANA015","Changha","Banteay Meanchey","បន្ទាយមានជ័យ","Ou Chrov","អូរជ្រៅ","13.647113","102.886313"
16,"BANA016","Phnum Lieb","Banteay Meanchey","បន្ទាយមានជ័យ","Preah Netr Preah","ព្រះនេត្រព្រះ","13.605432","103.312393"
17,"BANA017","Punley","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.76928","103.22615"
18,"BANA018","Sla Kram","Banteay Meanchey","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","13.832156","102.833294"
19,"BANA020","Banteay Neang","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","13.515097","103.017095"
20,"BANP001","Serei Saophoan","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.59572","102.97069"
21,"BANS001","Ou Ambel","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.5852101","102.9724208"
22,"BANS002","Paoy Paet","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","13.65887","102.554344"
23,"BANS003","Thma Puok","Banteay Meanchey","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","13.9413014","103.049302"
24,"BANS004","Srah Chik","Banteay Meanchey","បន្ទាយមានជ័យ","Phnum Srok","ភ្នំ","13.74387","103.33588"
25,"BATA001","Chomkar Somraong","Battambang","បាត់ដំបង","Battambang","បាត់ដំបង","13.129832","103.198146"
26,"BATA002","Kampong Prieng","Battambang","បាត់ដំបង","Sangkae","សង្កែ","12.9489","103.3383"
27,"BATA003","Phnum Sampov","Battambang","បាត់ដំបង","Banan","បាណន់","13.0296","103.1009"
28,"BATA004","Vaot Ta Muem 01","Battambang","បាត់ដំបង","Sangkae","សង្កែ","13.0627","103.2032"
29,"BATA005","Tuol Ta Ek","Battambang","បាត់ដំបង","Battambang","បាត់ដំបង","13.09573","103.190527"
30,"BATA006","Moung","Battambang","បាត់ដំបង","Moung Ruessei","មោងឫស្សី","12.775837","103.448387"
31,"BATA007","Snoeng","Battambang","បាត់ដំបង","Banan","បាណន់","12.9784","103.0544"
32,"BATA008","Vaot Ta Muem 02","Battambang","បាត់ដំបង","Sangkae","សង្កែ","13.03679","103.20173"
33,"BATA009","REM SOCHEA","Battambang","បាត់ដំបង","Battambang","បាត់ដំបង","13.265685","102.945134"
34,"BATA010","Santepheap","Battambang","បាត់ដំបង","Sampov Lun","សំពៅលូន","13.432283","102.366176"
35,"BATA011","Boeng Reang","Battambang","បាត់ដំបង","Kamrieng","កំរៀង","13.087139","102.446107"
36,"BATA012","Bour","Battambang","បាត់ដំបង","Phnum Proek","ភ្នំព្រឹក","13.283736","102.615651"
37,"BATA013","Pech Chenda 01","Battambang","បាត់ដំបង","Phnum Proek","ភ្នំព្រឹក","13.222725","102.391644"
38,"BATA014","Pech Chenda 02","Battambang","បាត់ដំបង","Phnum Proek","ភ្នំព្រឹក","13.2117","102.532803"
39,"BATA015","Sdok Pravoek","Battambang","បាត់ដំបង","Rukh Kiri","រុក្ខគិរី","12.603483","103.490935"
40,"BATA016","Ta Kream","Battambang","បាត់ដំបង","Banan","បាណន់","13.090324","103.023334"
41,"BATA017","Ta Sanh","Battambang","បាត់ដំបង","Samlout","សំឡូត","12.616636","102.858967"
42,"BATA018","Kampong Lpov","Battambang","បាត់ដំបង","Samlout","សំឡូត","12.543875","102.865274"
43,"BATA019","Traeng","Battambang","បាត់ដំបង","Thma Koul","ថ្មគោល","12.832975","102.894727"
44,"BATA021","Preaek Chik","Battambang","បាត់ដំបង","Rukh Kiri","រុក្ខគិរី","12.651708","103.396619"
45,"BATA022","Bavel","Battambang","បាត់ដំបង","Bavel","បវេល","13.256093","102.875914"
46,"BATA023","Chrey","Battambang","បាត់ដំបង","Thma Koul","ថ្មគោល","13.112873","103.136953"
47,"BATA024","Boeng Pring","Battambang","បាត់ដំបង","Thma Koul","ថ្មគោល","13.366959","103.034112"
48,"BATA025","Ta Pung","Battambang","បាត់ដំបង","Thma Koul","ថ្មគោល","13.264179","103.089398"
49,"BATA026","Svay Por","Battambang","បាត់ដំបង","Battambang","បាត់ដំបង","13.0859","103.1988"
50,"BATA027","Ou Ta Ki","Battambang","បាត់ដំបង","Thma Koul","ថ្មគោល","13.167237","103.112915"
51,"BATA028","Ta Sda","Battambang","បាត់ដំបង","Sampov Lun","សំពៅលូន","13.404488","102.455575"
52,"BATA029","Thipakdei","Battambang","បាត់ដំបង","Koas Krala","គាស់ក្រឡ","12.856523","103.26872"
53,"BATA030","Prey Svay","Battambang","បាត់ដំបង","Moung Ruessei","មោងឫស្សី","12.713477","103.544657"
54,"BATA032","Sdau","Battambang","បាត់ដំបង","Thma Koul","ថ្មគោល","12.891503","102.973863"
55,"BATA033","Ampil Pram Daeum","Battambang","បាត់ដំបង","Bavel","បវេល","13.260059","102.767866"
56,"BATA034","Ou Char","Battambang","បាត់ដំបង","Battambang","បាត់ដំបង","13.1076","103.1755"
57,"BATA035","Anlung Vil","Battambang","បាត់ដំបង","Battambang","បាត់ដំបង","13.0624","103.2563"
58,"BATA036","Vaot Ta Muem","Battambang","បាត់ដំបង","Sangkae","សង្កែ","13.01234","103.187065"
59,"BATA037","Peam Aek","Battambang","បាត់ដំបង","Aek Phnum","ឯកភ្នំ","13.161","103.2086"
60,"BATA038","Prey Khpos","Battambang","បាត់ដំបង","Bavel","បវេល","13.347834","102.905611"
61,"BATA039","Mukh Rea","Battambang","បាត់ដំបង","Rukh Kiri","រុក្ខគិរី","12.77559","103.448243"
62,"BATA040","Prek Preah Sdach","Battambang","បាត់ដំបង","Battambang","បាត់ដំបង","13.0887","103.2127"
63,"BATA041","Moung Ruessei","Battambang","បាត់ដំបង","Moung Ruessei","មោងឫស្សី","12.903065","103.3680416"
64,"BATP001","Battambang","Battambang","បាត់ដំបង","Battambang","បាត់ដំបង","13.106159","103.195737"
65,"BATS001","Tuol Ta Ek","Battambang","បាត់ដំបង","Battambang","បាត់ដំបង","13.095671","103.190739"
66,"BATS002","Ta Pung","Battambang","បាត់ដំបង","Thma Koul","ថ្មគោល","13.269928","103.089933"
67,"BATS003","Boeng Reang","Battambang","បាត់ដំបង","Kamrieng","កំរៀង","13.088761","102.445678"
68,"BATS004","Santepheap","Battambang","បាត់ដំបង","Sampov Lun","សំពៅលូន","13.431886","102.376649"
69,"BATS005","Sdau","Battambang","បាត់ដំបង","Thma Koul","ថ្មគោល","12.892662","102.97397"
70,"BATS006","Bavel","Battambang","បាត់ដំបង","Bavel","បវេល","13.25407","102.873046"
71,"BATS007","Moung","Battambang","បាត់ដំបង","Moung Ruessei","មោងឫស្សី","12.775514","103.447784"
72,"BATS008","Sdau","Battambang","បាត់ដំបង","Thma Koul","ថ្មគោល","12.5333","102.5826"
73,"HUBBAT01","Hub vùng HUBBAT01","Battambang","បាត់ដំបង","Battambang","បាត់ដំបង","13.33826181253044","103.0832144967726"
74,"CHAA001","Peam Prathnuoh","Kampong Cham","កំពង់ចាម","Kaoh Soutin","កោះសូទិន","11.892662","105.428499"
75,"CHAA002","Chrey Vien","Kampong Cham","កំពង់ចាម","Prey Chhor","ព្រៃឈរ","12.058398","105.257688"
76,"CHAA003","Kor","Kampong Cham","កំពង់ចាម","Cheung Prey","ជើងព្រៃ","12.11317","105.21706"
77,"CHAA004","Sandaek","Kampong Cham","កំពង់ចាម","Batheay","បាធាយ","12.123065","104.970836"
78,"CHAA005","Me Sar Chrey","Kampong Cham","កំពង់ចាម","Stueng Trang","ស្ទឹងត្រង់","12.29968","105.419272"
79,"CHAA006","Peam Chi Kang","Kampong Cham","កំពង់ចាម","Kang Meas","កងមាស","11.946622","105.247515"
80,"CHAA007","Ta Prok","Kampong Cham","កំពង់ចាម","Chamkar Leu","ចំការលើ","12.376818","105.222342"
81,"CHAA008","Thma Pun","Kampong Cham","កំពង់ចាម","Prey Chhor","ព្រៃឈរ","12.162685","105.246162"
